湖沼名,読みがな,面積(km2),基準水面(m),深度(m),都道府県,測量年
コムケ湖,こむけこ,4.84,0.8,5.3,北海道,1978
サロマ湖,さろまこ,151.63,0.0,19.6,北海道,1971-1974
能取湖,のとろこ,58.18,0.0,23.1,北海道,1977
阿寒湖,あかんこ,13.25,420.0,44.8,北海道,1978
風蓮湖,ふうれんこ,64.17,0.0,13.0,北海道,"1979, 1981"
支笏湖,しこつこ,78.48,248.0,360.1,北海道,1967-1968
洞爺湖,とうやこ,70.72,83.948,179.7,北海道,1968-1969
大沼,おおぬま,5.31,129.0,11.6,北海道,1983
小沼,こぬま,3.81,129.0,4.4,北海道,1983
十和田湖,とわだこ,61.1,400.0,326.8,青森・秋田,1963-1964
井土浦,いどうら,0.4,0.0,1.6,宮城,1983
鳥の海,とりのうみ,1.31,0.0,4.4,宮城,1983
桧原湖,ひばらこ,10.86,822.0,30.5,福島,1967
猪鼻湖,いのはなこ,5.37,0.0,16.1,静岡,1965-1966
浜名湖,はまなこ,64.91,0.0,13.1,静岡,1965-1966
余呉湖,よごこ,1.76,132.0,12.7,滋賀,1961
琵琶湖,びわこ,669.26,84.547,103.8,滋賀,"(1955)-1962,1968-1969,1973,1976"
ポロ沼,ぽろぬま,1.97,0.18,2.3,北海道,1987
クッチャロ湖(小沼),くっちゃろこ（こぬま）,,0.0,(1.7),北海道,1987
クッチャロ湖(大沼),くっちゃろこ（おおぬま）,13.44,0.0,3.3,北海道,1985
ペンケ沼,ぺんけとう,1.27,0.0,2.7,北海道,2005
パンケ沼,ぱんけとう,3.55,0.0,2.4,北海道,2005
網走湖,あばしりこ,32.27,0.0,16.3,北海道,"(1969-1970),2013-2014"
藻琴湖,もことこ,0.98,0.34,5.4,北海道,1991
涛沸湖,とうふつこ,8.19,0.55,2.4,北海道,1991
屈斜路湖,くっしゃろこ,79.54,121.0,117.5,北海道,1970-1971
摩周湖,ましゅうこ,19.22,351.3,211.4,北海道,1986
然別湖,しかりべつこ,3.59,804.5,98.5,北海道,2006
温根沼,おんねとう,6.44,0.0,7.3,北海道,2009
シラルトロ沼,しらるとろぬま,1.72,8.09,3.5,北海道,2000
塘路湖,とうろこ,6.27,6.01,6.9,北海道,1992
達古武湖,たっこぶこ,1.31,3.78,1.8,北海道,1992
厚岸湖,あっけしこ,32.7,0.0,11.0,北海道,1975
火散布沼,ひちりっぷぬま,3.78,0.0,5.7,北海道,2004
ウトナイ湖,うとないこ,2.1,2.09,1.0,北海道,1999
倶多楽湖,くったらこ,4.7,258.0,148.0,北海道,1978
十三湖,じゅうさんこ,17.81,0.0,1.5,青森,1980
内沼,うちぬま,,0.0,5.8,青森,1964
小川原湖,おがわらこ,61.96,0.0,26.5,青森,"(1964),2014-2015"
姉沼,あねぬま,1.57,0.0,3.9,青森,1964
伊豆沼,いずぬま,3.51,5.26,1.2,宮城,1997
内沼(宮城),うちぬま,1.21,5.26,1.3,宮城,1997
万石浦,まんごくうら,7.3,0.0,17.5,宮城,"(1980),2012"
八郎潟調整池,はちろうがたちょうせいち,27.75,0.7,11.3,秋田,1988
田沢湖,たざわこ,25.8,249.0,423.4,秋田,1966
小野川湖,おのがわこ,1.73,797.0,20.1,福島,"(1967),1991"
秋元湖,あきもとこ,3.52,736.0,36.0,福島,"(1967),1991"
猪苗代湖,いなわしろこ,103.24,514.0,93.5,福島,1966-1967
霞ヶ浦,かすみがうら,168.21,0.16,11.9,茨城,"(1958-1960),1988-1991"
北浦,きたうら,35.04,0.26,10.0,茨城,"(1960),1996"
外浪逆浦,そとなさかうら,5.94,0.16,23.3,茨城・千葉,"(1960),1996"
牛久沼,うしくぬま,3.46,2.85,3.5,茨城,1995
中禅寺湖,ちゅうぜんじこ,11.9,1269.0,163.0,栃木,1970
印旛沼 [北印旛沼],いんばぬま,,1.46,4.8,千葉,"1992,1993"
印旛沼 [西印旛沼],いんばぬま,9.43,1.46,2.9,千葉,"1992,1993"
芦ノ湖,あしのこ,7.03,724.5,40.6,神奈川,1971
河北潟,かほくがた,4.2,0.29,4.8,石川,1989
木場潟,きばがた,1.13,0.49,4.5,石川,2008
柴山潟,しばやまがた,1.92,0.46,4.5,石川,2008
北潟湖,きたがたこ,2.16,0.26/0.38,3.7,石川・福井,2007
日向湖,ひるがこ,0.93,0.0,39.4,福井,1980
久々子湖,くぐしこ,1.41,0.0,2.3,福井,1980
水月湖,すいげつこ,4.18,0.0,33.7,福井,1980
菅湖,すがこ,0.91,0.0,13.7,福井,1980
三方湖,みかたこ,3.58,0.0,3.4,福井,1980
河口湖,かわぐちこ,5.52,830.5,14.0,山梨,"(1963), 2018"
西湖,さいこ,2.1,900.0,71.5,山梨,"(1964), 2012"
精進湖,しょうじこ,0.51,900.0,12.6,山梨,"(1964), 2018"
本栖湖,もとすこ,4.7,900.0,121.2,山梨,"(1964), 2019"
山中湖,やまなかこ,6.57,980.5,12.9,山梨,"(1963), 2019"
野尻湖,のじりこ,4.45,656.84,38.3,長野,1998
諏訪湖,すわこ,12.81,759.0,7.6,長野,1965
久美浜湾,くみはまわん,7.18,0.0,20.6,京都,1984
阿蘇海,あそかい,4.8,0.0,13.0,京都,1984
湖山池,こやまいけ,6.99,0.0,6.5,鳥取,1982
東郷池,とうごういけ,4.06,0.0,3.6,鳥取,1982
中海,なかうみ,85.82,0.0,18.4,鳥取・島根,"(1962-1963),2020-2022"
宍道湖,しんじこ,79.25,0.0,5.8,島根,"(1962-1963),2016-2017"
池田湖,いけだこ,10.91,66.0,233.0,鹿児島,1972
鰻池,うなぎいけ,1.2,122.0,55.8,鹿児島,1972
